latitude,longitude,title,reference_url,thumbnail_url
-27.694164,-48.565960,"Praia do Garcia",https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.praias-360.com.br%2Fimg-600%2Fsc%2Fflorianopolis%2Fsc-florianopolis-praia-do-garcia-040.jpg&imgrefurl=https%3A%2F%2Fwww.praias-360.com.br%2Fsanta-catarina%2Fflorianopolis%2Fpraia-do-garcia&tbnid=L6dzagjGWtYP3M&vet=12ahUKEwjEhbrQ16j6AhWrCbkGHcFKDm0QMygCegUIARDCAQ..i&docid=LxJUtk71XmpqOM&w=600&h=399&q=Praia%20do%20Garcia%20Florian%C3%B3polis&ved=2ahUKEwjEhbrQ16j6AhWrCbkGHcFKDm0QMygCegUIARDCAQ,https://www.praias-360.com.br/img-600/sc/florianopolis/sc-florianopolis-praia-do-garcia-040.jpg
-27.650935,-48.554950,"Praia da Tipitinga",https://www.google.com/search?q=Praia+da+Tipitinga+Florian%C3%B3polis&tbm=isch&ved=2ahUKEwjEhbrQ16j6AhWrCbkGHcFKDm0Q2-cCegQIABAA&oq=Praia+da+Tipitinga+Florian%C3%B3polis&gs_lcp=CgNpbWcQAzIECCMQJ1DFAljFAmD0DmgAcAB4AIABggGIAeoBkgEDMC4ymAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=JXssY4TfFKuT5OUPwZW56AY&bih=657&biw=1366#imgrc=bPqsSP_trHOSLM,http://www.clicrbs.com.br/sites/swf/DC_quizverao/images/trilha1-crop-u316.jpg
-27.695284,-48.561783,"Praia do Saco",https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.ytimg.com%2Fvi%2FQjQJJtlafBw%2Fsddefault.jpg&imgrefurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DQjQJJtlafBw&tbnid=U2LC2qR1egVOyM&vet=12ahUKEwj62aCV2Kj6AhV7M7kGHTdrCV0QMygDegUIARDDAQ..i&docid=BbRvZW0j0ynV2M&w=640&h=480&q=Praia%20do%20Saco%20Florian%C3%B3polis&ved=2ahUKEwj62aCV2Kj6AhV7M7kGHTdrCV0QMygDegUIARDDAQ,https://i.ytimg.com/vi/QjQJJtlafBw/sddefault.jpg
-27.696293,-48.554690,"Praia das Flecheiras",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.699645,-48.552320,"Praia do Contrato",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.705182,-48.556403,"Praia do Barro Vermelho",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.717038,-48.563729,"Praia do Ribeirão da Ilha",https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.viagensecaminhos.com%2Fwp-content%2Fuploads%2F2014%2F03%2Fflorianopolis-ribeirao-da-ilha.jpg&imgrefurl=https%3A%2F%2Fwww.viagensecaminhos.com%2F2014%2F03%2Fribeirao-da-ilha-florianopolis.html&tbnid=jLnRbfgQmmE-pM&vet=12ahUKEwiDz5ju2Kj6AhV3OLkGHQrMA0kQMygHegUIARDKAQ..i&docid=yn91OnTd9WM_-M&w=1280&h=853&q=Praia%20do%20Ribeir%C3%A3o%20da%20Ilha%20Florian%C3%B3polis&ved=2ahUKEwiDz5ju2Kj6AhV3OLkGHQrMA0kQMygHegUIARDKAQ,https://www.viagensecaminhos.com/wp-content/uploads/2014/03/florianopolis-ribeirao-da-ilha.jpg
-27.729078,-48.562884,"Praia do Rita",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.725295,-48.564532,"Praia do Doutor Ivo",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.731405,-48.562387,"Praia do Itaqui",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
